Fan-in,Fan-out,Combinational Logic Depth,Propagation delay (register to flip-flop) (ps),Propagation delay (flip-flop to register) (ps),Setup time (ps),Hold time (ps),Rise transition time (ps),Fall transition time (ps),Propagation delay (low to high) (ps),Propagation delay (high to low) (ps),Clock pulse (ps)
4,1,6,1397.3549972531603,583.5884672451499,440.55151257285524,363.1000981729552,83.96178157984207,226.46775876632043,580.3202705295428,481.65617178802233,14814.814814814816
5,5,7,1141.5177645844149,256.0413491921205,363.8233717566823,343.860272268649,767.920248751035,83.87644101108907,641.7001155921863,1100.6998928880664,5000.0
3,7,12,845.8948714223045,1373.0002856765932,139.3398863225516,273.7657796260345,756.4704825115255,337.184980536823,356.2576497020553,103.44621196594126,5405.405405405406
5,10,18,1778.960973463595,863.3474187027701,713.8192035827548,245.42419664080603,636.7440527927904,217.99456190401398,607.4754827269015,433.6659293994355,40000.0
5,10,19,906.4011933607437,1755.8448497113468,381.8363331042051,359.0749492930679,793.4092051888077,206.86098165464946,821.3432685534531,143.70716551096413,4123.711340206185
2,6,9,1669.8789910488388,1051.777832044803,187.91310898378148,90.4254682209115,453.8065729281999,769.495730062226,921.318393388528,938.5105941682225,30769.23076923077
3,5,11,990.4428354263932,1942.7481702464993,319.49710666674014,50.00828163251487,771.7039461924367,508.3883693035503,924.3322526351027,866.3603486074477,30769.23076923077
3,4,6,878.4999729648339,533.9459282656181,354.73861192198456,111.01386456562449,97.45983086873059,463.2276168107928,727.238046217379,451.1144849846751,4395.604395604396
3,2,7,1032.8236142052917,1763.5217023200996,668.9288006308245,321.93974590607235,317.9173686786422,355.98907867772465,1092.88294799312,836.7424504719219,11111.111111111111
5,4,10,742.4801734954558,1597.8743350251352,597.5469292266656,33.174701356063665,211.28976368514205,365.99769340690966,995.4967889828426,523.4496933394638,7692.307692307692
4,10,18,1545.6968843172522,1587.6593203592938,624.6717191674184,241.46659733172612,188.8331439420452,451.0878029169415,927.8938884624606,927.0042463931267,5882.352941176471
3,10,16,1104.8967021664625,1720.609810610398,48.383760965771884,398.2662561526978,147.01024115843384,569.2866533474415,142.27818428211592,588.6857022651108,9756.097560975611
6,3,10,617.9828512642712,1569.843183697398,356.2770386166187,345.16451565826503,513.0343675901576,573.6310330981904,87.70331768600724,541.7532951714653,9523.809523809523
5,10,19,1819.2342318942233,1327.196578936548,405.82155524284593,218.14936183656397,633.8046103679519,170.4873698561417,317.94095045892976,1126.897505346897,10810.810810810812
2,1,5,891.0041984717806,436.2407798282977,54.58613038552308,44.18354552892409,479.5067835594741,420.0856915782365,823.1464251830666,360.98459187758425,6250.0
4,8,10,1178.3951500051796,258.5471230842535,237.458038646226,335.9219354665697,151.69165928703933,353.08815222591744,540.5411875484513,214.90102079615332,5797.101449275362
6,5,17,1831.6497997361848,1857.5261260682364,617.8202655728227,247.61183310734006,656.4540651494381,701.6004943647321,530.6950104152291,734.6882868505932,5063.291139240507
6,4,12,1323.6283926451858,1309.9705661373287,144.20337635403925,63.67453888263539,523.3255774444336,519.8783801259661,1070.7373148171675,1165.6404297582803,5633.80281690141
2,8,11,410.41647327505535,1633.7671237571174,446.83569990396967,55.665768232875365,335.0059366565166,444.7030904761462,1083.0303899076594,503.17991937444907,4494.382022471911
4,7,13,1891.6978225042553,1066.74023272259,203.5534227331005,365.6581913859052,552.3390246074079,127.6999280559772,1098.2762957400162,149.4811752642353,9302.32558139535
5,2,8,1329.8744955285522,411.15474013231005,49.211788729358894,274.2960999164698,237.52778422455296,500.2847958857928,431.54344569683053,460.0218993867156,4166.666666666667
1,1,3,802.830106382755,425.3344259645908,223.31310777565156,335.1289837403672,302.3460784556,129.07496831697742,853.9825102679732,646.6434528379054,4123.711340206185
4,4,8,450.6897307940971,1434.0175170121486,781.6640537316409,354.01198210726164,737.2892407803126,296.2769974299715,384.229163027294,261.3537674280794,6153.846153846153
2,8,11,1629.2453406865327,974.5506108190328,649.1682050310721,237.27349377836245,260.7834243102795,148.5598932588922,293.4830130433838,817.0744842232712,18181.818181818187
6,2,9,1316.1309606713244,560.9445080606062,769.2782496839855,216.6296136669157,397.1910838000318,565.9759717385203,286.78835222905354,1197.4793156914247,6153.846153846153
5,3,10,1160.2299655573788,1084.8701841345865,410.76907338403544,183.56241592197625,716.5072644209713,196.75160651547597,463.1605353672253,585.948213099217,14814.814814814816
4,1,7,1809.006649491724,315.5760867352414,123.39951099490266,140.43970336062532,577.868226203321,337.81312362289975,561.5525341534003,477.29598353783825,6349.20634920635
1,1,3,1619.4749802041554,1247.548523445918,456.4492116200067,185.14646512631046,87.27445188517409,720.7128309902719,1010.6630715816768,528.7886668546026,4651.162790697675
1,3,5,473.01478351895224,684.188127983176,385.3267742655703,314.0742691774594,151.95031365201746,195.2804513832174,214.27802468943756,208.9637198026253,7692.307692307692
3,5,10,761.0997220319869,1635.6063811469387,681.7113828821082,248.73090378575,45.95960898665679,425.93184860867217,903.1169490822815,1069.2664335973707,8333.333333333334
3,3,7,647.2804516660385,758.6515260624328,114.5427613960259,359.15885018284155,519.5005605741643,358.6464624861767,675.229503892022,544.6047341839143,5714.285714285714
2,1,6,1539.1033266308186,1019.3962683472421,411.0632641365514,188.48440546409134,380.23180331191793,53.774271194754604,402.4987837971116,513.7473407958222,7843.137254901962
4,1,2,260.3583825244029,220.91697183458115,154.03698516742804,250.69403991312657,142.04888668572943,642.4961663153377,631.9579346767636,818.8531056821312,4444.444444444444
4,8,11,1225.80143276837,330.40439803020604,286.75370443644556,259.8968701749557,768.0299320031455,92.4748887990958,415.93511815026545,575.0774314428583,4545.454545454547
6,10,20,1572.4256343332431,906.4884015320328,600.3913788147278,244.84492167640371,442.5413901986711,400.4338159424847,747.6117898669027,806.0214850647876,14814.814814814816
6,2,12,1778.178146171149,1063.8899024908224,401.77377832026264,287.0008337724962,223.83890352579576,466.115504153602,565.9051935978734,148.81984494648202,12500.0
6,3,11,815.7471476886335,1280.0369866147466,325.67509671078466,110.2247179824264,420.4587140775777,517.6041070270861,264.1341925683442,991.3701449688948,6349.20634920635
3,2,6,1678.2631484096235,724.9926416767458,339.8019717132268,214.69823546740045,556.511452878682,563.3600382739854,210.57304350238033,1133.364427224931,10256.410256410258
4,3,8,399.137126519373,1450.9673950277765,389.1795439885499,59.60542506717211,97.941805659909,232.48701147726348,692.2991639207858,806.6172324985123,5970.1492537313425
4,7,16,1723.6141251221325,1748.2203149405684,636.6125733161633,166.11430450502877,248.7748994363979,47.58387026042153,1090.7025972804358,1149.113840321868,5194.805194805195
1,1,3,429.4795921975684,1603.7317800080295,717.9843635945781,205.3134860760805,653.2937730718352,589.8171833897331,465.23260894460776,249.60419209435892,5263.157894736843
3,10,10,915.1171230086611,271.3138856270429,766.0543617429856,267.84521862727956,389.3453015060225,447.0990155041598,900.960120089338,614.7061322179961,5000.0
5,8,19,1635.1316584031965,1064.912505064092,638.0465735540243,381.20179998275734,455.39862794454416,675.4494544375092,817.700717532539,754.023542018901,14814.814814814816
3,10,7,469.85136922779276,388.8743211527148,279.7092407684897,248.24740528837526,368.94016167919665,664.2551558045277,1123.3415040266188,731.5450451117291,25000.0
5,10,13,612.6525114187547,635.6810285525494,562.9823766257721,302.5656881470927,73.3639564086839,680.9278875187913,999.4987393750379,529.6371925797283,8163.265306122448
1,10,15,1500.0546231075193,1975.9926678808636,372.57837428209785,212.38110260817703,165.96983266331853,408.6719415844505,714.5978899741185,458.6545384902127,5063.291139240507
2,2,5,1496.065765782934,456.49197722272385,233.5496727549989,260.9595319230059,378.6116454438371,293.5575808360179,815.8741580222002,222.04290525646908,4210.526315789474
4,3,7,1354.0657391935351,1097.9986762124408,679.0624003637013,46.954242130833904,198.98095371002518,641.5842339694412,1086.1928425741191,518.7515446297515,5405.405405405406
1,9,12,1449.1072000407803,1312.6803217726144,69.204025211367,116.66880071990184,77.98406178135585,382.98352590223374,527.461038737367,262.1801129181433,5194.805194805195
4,7,15,1176.9039980256732,1464.4369469793871,725.3391140229219,157.50417541795272,681.1737446793861,179.41606926661026,446.0100705607107,902.4895576712847,6896.551724137931
6,4,9,653.2383060325151,1207.3676302764454,390.72287311479795,199.54747490247516,785.7063221647281,689.7802548667206,92.10841367141991,313.8906477539408,6557.377049180327
2,10,7,822.2527883070551,217.5875253545306,524.2731223742932,37.34652329090582,642.7885842375221,710.7455063469839,1005.73720309444,145.5931419186779,10526.315789473687
2,5,8,526.8758902425662,787.6303548391854,541.1089808763949,73.20915707026073,688.876540495547,394.3954146665293,977.0983844517687,698.6500743553024,13333.333333333336
1,2,7,1835.2110104005308,1131.8809580924806,720.2894829369677,125.18943696069618,223.9026190409545,97.53179275543847,196.98906027216955,746.6573006457297,4040.4040404040406
2,8,9,1250.105230579017,358.1596984607001,523.8689584470776,389.1824225423993,770.0765013900318,334.74782833686777,726.0802668686242,1056.5426286341662,4597.701149425287
5,4,9,921.5325501745518,831.1284761765254,506.589524417647,145.9118626991593,189.66353538460558,650.6886211915786,599.6595019469139,726.2194059078038,22222.222222222223
2,9,6,1031.610446559439,259.7655958244598,90.65555082612438,203.17560208259135,763.0866558749926,725.3482616951338,212.95418697020483,466.93855617025923,7142.857142857144
4,5,10,1905.1100113012676,341.44129487903734,433.9900966783551,94.5171308405893,796.0626634141229,194.63928429817284,1178.2364143080104,979.3733073094791,4705.882352941177
4,9,11,476.03252560894435,914.4618971628729,154.12844062095166,252.09642700879195,580.9093323669971,90.89994513920637,320.45939395895806,685.1123603699116,7843.137254901962
4,4,9,1255.2136976302352,438.8883572775086,600.4496642283291,126.65962189607023,785.6692361617847,706.7863443809574,155.30228170142848,168.79391878693477,6666.666666666668
4,10,16,1110.5996219920387,1221.5735268708047,429.2886598176326,98.65717980660219,472.85023247099883,335.94775362394523,746.2290650421387,713.7526275508362,6153.846153846153
5,5,11,1300.6176237823663,1441.0369444470784,556.9731121983485,216.29759880947205,237.25175521382863,451.7383328433482,907.5306783889966,1096.980770872262,6666.666666666668
3,9,8,232.59833087751292,1641.0560583963493,71.67140445781205,22.092203680959912,372.1168731058719,775.7300171585769,116.33665957284941,523.870140558007,5063.291139240507
6,8,12,1769.8230360994728,560.2704396406582,104.44193219481048,22.91233240670563,491.1063108878773,90.58919321480937,817.7637553742647,411.884898127776,13793.103448275862
1,3,5,1877.8129084705024,501.4686480663256,584.4057749276385,103.24614745870595,95.54198714053139,532.7216856635927,676.166901065629,240.68579186018246,4123.711340206185
4,1,5,1217.2397304605763,388.22211260192046,94.78409535899176,33.95411775031204,512.980881109107,96.32012115689898,195.65680994005422,249.6189845676002,11111.111111111111
2,3,5,1453.9714829784061,1345.574449178546,94.15511310159654,61.04978656966272,785.6951559393439,325.3563856345403,273.22674217992557,564.7040624628371,8510.63829787234
4,4,9,1860.4988861191323,1471.6563076764223,49.20244117851447,148.76704674872562,184.48181383563303,650.8990543470196,716.1312129940102,747.161403060913,4938.2716049382725
2,2,5,1473.0295417641175,256.8550606861557,766.9410627076049,324.9825582403289,642.3722883791714,369.43889689428215,411.92052713488295,170.28925378995393,5405.405405405406
6,1,10,474.57027724567047,1885.182043238642,600.5063531888453,237.37848448033435,730.0030832725107,797.8585889662422,1130.9136160894739,1132.3168197081857,6349.20634920635
6,7,11,1237.3190483002638,293.5483105726504,308.4710704615688,214.81373586343827,757.213210543368,464.88505655941765,996.9890570221369,925.7496515386194,12121.21212121212
6,8,15,1292.0870834891407,1174.3334035419268,265.36704177861793,131.52575281908622,769.70305934814,284.0832360033246,1181.5952712953026,737.0187884777022,7142.857142857144
2,7,10,963.435208344295,1476.3089350116497,305.7744546068456,374.06641338447025,436.30932542831874,207.28460768761238,370.8313396244637,1007.8513114516699,5000.0
4,5,12,1525.5996241245011,1767.7444227429542,628.7366836976983,170.86571567013283,782.7540100735428,306.395606057483,1166.0904687337343,169.8091676295669,4347.826086956522
