Fan-in,Fan-out,Combinational Logic Depth,Propagation delay (register to flip-flop) (ps),Propagation delay (flip-flop to register) (ps),Setup time (ps),Hold time (ps),Rise transition time (ps),Fall transition time (ps),Propagation delay (low to high) (ps),Propagation delay (high to low) (ps),Clock pulse (ps)
4,1,22,698.6774986,291.7942336,220.2757563,181.5500491,41.98089079,113.2338794,290.1601353,240.8280859,7407.407407
5,5,21,570.7588823,128.0206746,181.9116859,171.9301361,383.9601244,41.93822051,320.8500578,550.3499464,2500
3,7,21,422.9474357,686.5001428,69.66994316,136.8828898,378.2352413,168.5924903,178.1288249,51.72310598,2702.702703
5,10,20,889.4804867,431.6737094,356.9096018,122.7120983,318.3720264,108.997281,303.7377414,216.8329647,20000
5,10,20,453.2005967,877.9224249,190.9181666,179.5374746,396.7046026,103.4304908,410.6716343,71.85358276,2061.85567
2,6,20,834.9394955,525.888916,93.95655449,45.21273411,226.9032865,384.747865,460.6591967,469.2552971,15384.61538
3,5,19,495.2214177,971.3740851,159.7485533,25.00414082,385.8519731,254.1941847,462.1661263,433.1801743,15384.61538
3,4,19,439.2499865,266.9729641,177.369306,55.50693228,48.72991543,231.6138084,363.6190231,225.5572425,2197.802198
3,2,19,516.4118071,881.7608512,334.4644003,160.969873,158.9586843,177.9945393,546.441474,418.3712252,5555.555556
5,4,19,371.2400867,798.9371675,298.7734646,16.58735068,105.6448818,182.9988467,497.7483945,261.7248467,3846.153846
4,10,19,772.8484422,793.8296602,312.3358596,120.7332987,94.41657197,225.5439015,463.9469442,463.5021232,2941.176471
3,10,19,552.4483511,860.3049053,24.19188048,199.1331281,73.50512058,284.6433267,71.13909214,294.3428511,4878.04878
6,3,19,308.9914256,784.9215918,178.1385193,172.5822578,256.5171838,286.8155165,43.85165884,270.8766476,4761.904762
5,10,18,909.6171159,663.5982895,202.9107776,109.0746809,316.9023052,85.24368493,158.9704752,563.4487527,5405.405405
2,1,18,445.5020992,218.1203899,27.29306519,22.09177276,239.7533918,210.0428458,411.5732126,180.4922959,3125
